,carat,cut,color,clarity,depth,table,price,x,y,z
27,0.39,Ideal,F,VS2,60.0,57.0,1053,4.76,4.7,2.84
28,0.34,Premium,E,SI1,61.8,58.0,596,4.47,4.5,2.77
29,0.52,Ideal,G,VS1,60.4,57.0,1887,5.21,5.24,3.16
30,2.06,Very Good,F,I1,58.7,61.0,9789,8.31,8.33,4.88
31,0.78,Premium,D,SI1,61.8,59.0,3103,5.93,5.88,3.65
32,1.5,Very Good,E,SI1,59.6,58.0,11586,7.38,7.41,4.41
33,1.04,Good,H,SI2,57.9,58.0,4193,6.72,6.68,3.88
34,1.01,Very Good,E,VS2,59.9,57.0,6622,6.52,6.57,3.92
35,0.31,Ideal,H,VVS2,61.3,56.0,778,4.37,4.4,2.69
36,2.02,Ideal,H,SI1,61.7,57.0,17882,8.14,8.08,5.0
37,0.9,Very Good,I,VS1,62.6,59.0,4126,6.11,6.15,3.84
38,0.41,Ideal,E,VVS2,62.3,58.0,1085,4.73,4.78,2.96
39,0.31,Ideal,E,VS2,61.7,55.0,872,4.39,4.36,2.7
40,0.74,Premium,F,VS2,62.3,58.0,2560,5.77,5.72,3.58
41,0.72,Ideal,I,VVS1,61.3,57.0,2642,5.74,5.77,3.53
42,0.4,Ideal,G,VVS2,62.6,53.0,917,4.72,4.77,2.97
43,0.43,Ideal,G,VVS1,62.0,55.0,1207,4.82,4.85,3.0
44,1.02,Very Good,H,SI2,61.1,61.0,4039,6.48,6.51,3.97
45,0.53,Very Good,D,VVS2,57.5,64.0,2782,5.34,5.37,3.08
46,0.35,Ideal,H,VS1,62.0,56.0,614,4.54,4.56,2.82
47,1.19,Ideal,I,SI1,62.3,57.0,4998,6.78,6.73,4.21
48,0.41,Very Good,E,VS1,62.8,60.0,834,4.72,4.77,2.98
49,0.9,Very Good,H,SI2,61.1,63.0,3160,6.12,6.19,3.76
50,0.3,Very Good,D,VS1,62.2,58.0,742,4.25,4.27,2.65
51,0.42,Ideal,G,SI1,63.0,55.0,882,4.81,4.77,3.02
52,0.31,Premium,E,VS2,62.7,58.0,872,4.33,4.31,2.71
53,0.31,Ideal,D,VS1,61.6,55.0,713,4.3,4.33,2.66
54,0.7,Premium,E,SI1,61.2,62.0,2396,6.65,5.73,3.48
55,0.78,Ideal,G,VS2,62.2,57.0,3171,5.87,5.9,3.66
56,0.72,Ideal,G,VVS1,62.2,54.4,3492,5.73,5.76,3.57
57,0.54,Ideal,H,VS1,61.5,56.0,1381,5.22,5.25,3.22
58,1.2,Ideal,D,SI2,61.7,56.0,6740,6.88,6.81,4.22
59,1.24,Premium,E,SI2,61.1,59.0,6377,6.99,6.89,4.24
60,1.32,Premium,I,SI2,60.8,58.0,4704,7.03,7.11,4.3
61,1.0,Premium,F,VS2,61.9,59.0,6640,6.41,6.36,3.95
62,1.52,Premium,H,SI1,61.2,58.0,8566,7.53,7.43,4.57
63,0.54,Ideal,G,VS2,61.7,55.0,1401,5.22,5.26,3.23
64,0.71,Very Good,F,VS2,62.2,56.0,2662,5.7,5.72,3.55
65,0.53,Ideal,E,SI1,62.1,53.0,1408,5.2,5.23,3.24
66,0.45,Premium,F,VS1,62.1,59.0,1229,4.85,4.81,3.0
67,0.5,Ideal,E,VVS2,62.2,57.0,2346,5.08,5.05,3.15
68,0.7,Very Good,F,VS2,60.3,59.0,2400,5.76,5.79,3.48
69,1.01,Very Good,I,SI1,59.7,60.0,4186,6.49,6.55,3.89
70,1.1,Good,H,SI1,63.6,58.0,5131,6.55,6.5,4.15
71,0.51,Very Good,D,SI1,60.4,61.0,1425,5.09,5.14,3.09
72,0.72,Very Good,E,SI2,61.4,58.0,2688,5.76,5.8,3.55
73,0.51,Premium,H,SI2,62.9,56.0,1125,5.08,5.06,3.19
74,2.0,Very Good,G,SI1,63.5,56.0,18818,7.9,7.97,5.04
75,0.35,Ideal,D,VS2,61.3,56.0,829,4.54,4.56,2.79
76,0.46,Ideal,E,VS1,61.7,56.0,1834,4.95,5.0,3.07
77,0.4,Premium,E,VS2,61.9,59.0,912,4.72,4.75,2.93
78,0.73,Ideal,E,VS1,62.3,56.0,3311,5.8,5.75,3.6
79,0.91,Very Good,E,VS1,61.9,59.0,5259,6.17,6.23,3.84
80,0.41,Ideal,F,VVS1,62.3,56.0,1236,4.79,4.77,2.98
81,1.02,Ideal,F,VS1,62.2,57.0,7836,6.39,6.43,3.99
82,0.33,Good,H,VS2,63.8,55.0,521,4.4,4.44,2.82
83,0.35,Ideal,H,SI1,61.9,55.0,541,4.54,4.57,2.82
84,0.34,Ideal,E,VS1,62.0,56.0,805,4.48,4.52,2.79
85,0.37,Premium,F,VS2,59.7,59.0,957,4.68,4.64,2.78
86,0.5,Good,E,SI1,64.2,59.0,1090,5.03,4.97,3.21
87,0.5,Very Good,H,VS2,62.3,57.0,1337,5.03,5.12,3.16
88,0.3,Ideal,G,IF,62.0,56.0,956,4.31,4.3,2.67
89,1.34,Premium,G,VVS2,61.3,58.0,11118,7.16,7.1,4.37
90,0.31,Ideal,H,VVS1,61.6,55.0,707,4.35,4.38,2.69
91,0.73,Premium,I,VVS2,61.5,58.0,2496,5.73,5.78,3.54
92,0.33,Premium,I,VS2,62.0,60.0,594,4.46,4.41,2.75
93,0.3,Premium,E,VS2,61.6,58.0,658,4.31,4.33,2.66
94,0.75,Very Good,H,SI2,63.0,58.0,2180,5.76,5.79,3.64
95,0.35,Ideal,G,VS1,61.9,55.0,906,4.53,4.52,2.8
96,0.32,Ideal,E,VS1,59.5,57.0,842,4.49,4.45,2.66
97,0.79,Very Good,E,SI1,63.2,56.0,3053,5.91,5.83,3.71
98,0.7,Very Good,I,SI2,60.9,59.0,1603,5.7,5.76,3.49
99,0.91,Premium,I,SI2,62.0,59.0,2913,6.18,6.23,3.85
100,0.41,Premium,G,VS2,61.8,59.0,827,4.72,4.76,2.93
101,1.71,Ideal,H,VS2,61.9,57.0,9618,7.67,7.61,4.73
102,1.55,Premium,I,SI2,58.5,60.0,7972,7.64,7.58,4.45
103,0.73,Fair,D,SI2,65.5,60.0,2147,5.64,5.54,3.66
104,1.53,Ideal,H,SI2,59.6,57.0,5631,7.46,7.38,4.42
105,0.31,Ideal,F,SI1,62.3,56.0,707,4.38,4.35,2.72
106,0.83,Ideal,D,SI2,62.0,55.0,3774,6.02,6.05,3.74
107,0.36,Ideal,E,VS2,61.2,56.0,789,4.59,4.63,2.82
108,1.04,Premium,G,I1,62.2,58.0,2801,6.46,6.41,4.0
109,1.5,Ideal,H,VS1,61.2,56.0,12055,7.39,7.4,4.52
110,0.33,Very Good,I,VS1,63.1,56.0,668,4.4,4.38,2.77
111,0.51,Very Good,D,VS2,63.2,56.0,1722,5.04,5.08,3.2
112,0.39,Good,J,VS1,63.1,56.0,616,4.62,4.7,2.94
113,0.7,Fair,H,SI1,64.7,58.0,2051,5.59,5.54,3.6
114,0.3,Very Good,D,SI1,63.1,56.0,662,4.28,4.24,2.69
115,1.0,Good,D,VS1,57.8,61.0,7500,6.62,6.56,3.81
116,0.34,Ideal,G,IF,61.3,55.0,974,4.53,4.57,2.79
117,0.5,Good,J,VS2,63.2,60.0,965,5.01,5.06,3.18
118,0.31,Ideal,D,VS2,61.5,56.0,734,4.35,4.36,2.68
119,1.51,Premium,J,SI2,61.9,56.0,6712,7.44,7.29,4.56
120,1.01,Ideal,D,SI1,62.0,57.0,5939,6.44,6.37,3.97
121,1.21,Premium,H,SI2,58.8,60.0,6098,6.99,6.95,4.1
122,0.27,Ideal,I,VS1,62.0,56.0,432,4.16,4.19,2.59
123,1.06,Ideal,F,SI1,61.7,55.0,6363,6.58,6.56,4.06
124,1.22,Ideal,G,VVS2,60.0,58.0,11003,6.95,6.99,4.18
125,0.32,Ideal,H,VVS1,61.9,55.0,936,4.38,4.37,2.71
126,0.24,Very Good,F,IF,60.0,57.0,552,4.07,4.1,2.45
127,0.55,Ideal,D,VS2,61.8,54.0,2030,5.29,5.26,3.26
128,0.26,Very Good,F,VVS1,60.8,58.0,679,4.11,4.18,2.52
129,0.97,Ideal,D,SI1,62.8,56.0,5028,6.24,6.3,3.94
130,0.7,Ideal,E,VS1,62.1,55.0,3248,5.72,5.77,3.57
131,0.56,Ideal,E,SI1,61.6,56.0,1691,5.29,5.33,3.27
132,0.5,Ideal,E,VVS2,62.2,54.0,2889,5.08,5.12,3.17
133,0.31,Very Good,F,VS2,62.8,56.0,625,4.28,4.32,2.7
134,0.31,Premium,D,SI1,62.0,58.0,571,4.3,4.35,2.68
135,1.14,Fair,J,SI2,64.4,55.0,3403,6.56,6.54,4.22
136,0.52,Ideal,F,VS1,62.2,55.0,1778,5.14,5.18,3.21
137,1.15,Premium,I,SI2,61.3,57.3,5123,6.71,6.78,4.13
138,0.9,Very Good,G,IF,60.1,59.0,5754,6.22,6.26,3.75
139,1.55,Ideal,I,VS1,61.2,55.0,10286,7.49,7.47,4.58
140,0.33,Ideal,G,VVS1,62.4,56.0,820,4.41,4.45,2.76
141,0.73,Premium,F,SI2,60.5,57.0,2351,5.84,5.8,3.52
142,0.28,Very Good,E,VS1,60.9,59.0,487,4.19,4.22,2.56
143,0.41,Very Good,G,VVS1,60.3,60.0,1151,4.74,4.78,2.87
144,0.38,Ideal,E,VS2,60.1,56.0,1112,4.72,4.69,2.83
145,0.51,Ideal,D,VS2,61.9,55.0,1787,5.11,5.13,3.17
146,0.31,Premium,I,VS2,59.9,60.0,558,4.44,4.41,2.65
147,1.52,Very Good,I,VS1,62.2,63.0,9576,7.26,7.23,4.51
148,0.44,Ideal,I,VS1,61.1,56.0,807,4.92,4.96,3.02
149,0.91,Good,F,SI1,58.0,57.0,4067,6.36,6.47,3.72
150,0.5,Good,E,SI1,63.7,59.0,1155,5.07,5.01,3.21
151,0.7,Ideal,I,SI2,62.3,55.0,1874,5.67,5.72,3.55
152,0.31,Very Good,J,SI1,61.9,59.0,363,4.28,4.32,2.66
153,0.42,Ideal,G,SI1,62.5,56.0,945,4.83,4.8,3.01
154,0.53,Ideal,E,VS2,60.9,56.0,1786,5.27,5.28,3.21
155,0.91,Very Good,D,VS1,62.5,56.0,5597,6.14,6.18,3.85
156,1.05,Premium,H,SI1,61.3,58.0,5228,6.52,6.47,3.98
157,0.31,Ideal,D,VS2,62.2,56.0,734,4.32,4.36,2.7
158,0.56,Fair,F,VS2,57.0,67.0,1814,5.49,5.36,3.09
159,1.01,Ideal,E,VVS2,60.0,55.0,9310,6.56,6.6,3.95
160,1.21,Ideal,H,SI2,62.0,54.5,5814,6.81,6.87,4.25
161,1.7,Very Good,G,VS1,60.6,59.0,16955,7.74,7.63,4.66
162,0.34,Premium,D,SI1,62.7,59.0,803,4.45,4.42,2.78
163,0.8,Ideal,G,VVS2,61.5,55.0,4740,5.95,5.99,3.68
164,0.47,Ideal,D,VS2,60.3,57.0,1270,5.02,5.07,3.04
165,0.32,Premium,G,VVS2,60.8,59.0,730,4.41,4.44,2.69
166,0.5,Very Good,F,VS1,62.9,58.0,1550,5.05,5.09,3.19
167,0.31,Premium,E,SI1,62.0,58.0,698,4.35,4.3,2.68
168,0.33,Premium,G,VS1,61.3,58.0,666,4.42,4.46,2.72
169,0.33,Premium,G,VS1,59.2,59.0,854,4.54,4.51,2.68
170,1.16,Ideal,H,SI2,61.9,56.0,4797,6.73,6.77,4.18
171,1.23,Ideal,J,VS1,62.2,55.0,6100,6.83,6.86,4.26
172,0.96,Premium,E,SI2,62.8,60.0,3016,6.3,6.24,3.94
173,0.71,Premium,F,SI1,59.8,62.0,2756,5.74,5.73,3.43
174,0.3,Very Good,G,VS2,61.8,60.0,505,4.29,4.25,2.64
175,1.07,Ideal,G,SI2,62.0,57.0,4401,6.58,6.55,4.07
176,0.52,Ideal,G,VVS2,62.1,57.0,1932,5.15,5.13,3.19
177,0.41,Ideal,E,SI2,62.8,57.0,876,4.73,4.7,2.96
178,0.4,Ideal,D,VS2,62.8,57.0,1050,4.72,4.68,2.95
179,0.51,Very Good,G,VVS2,60.9,56.0,1768,5.17,5.21,3.16
180,0.35,Ideal,G,VS1,61.3,54.0,741,4.58,4.63,2.83
181,0.73,Ideal,D,VVS2,62.2,56.0,4252,5.79,5.73,3.58
182,0.52,Ideal,D,VS2,60.3,56.0,1802,5.27,5.24,3.17
183,0.73,Very Good,F,SI1,63.5,56.0,2360,5.68,5.72,3.62
184,0.52,Ideal,F,SI1,60.4,56.0,1432,5.22,5.28,3.17
185,0.51,Ideal,E,VS2,61.5,57.0,1656,5.09,5.12,3.14
186,0.72,Good,G,VS1,58.0,57.8,2958,5.85,5.87,3.4
187,2.04,Premium,H,SI2,62.8,57.0,13790,8.13,8.08,5.09
188,1.01,Very Good,F,VS2,58.8,63.0,6257,6.51,6.56,3.84
189,0.73,Premium,E,VS2,62.5,61.0,2862,5.78,5.64,3.59
190,1.22,Premium,I,SI2,62.5,58.0,5226,6.8,6.76,4.24
191,1.65,Ideal,E,SI2,58.7,56.0,8455,7.76,7.73,4.55
192,0.41,Very Good,D,SI1,60.3,63.0,717,4.78,4.8,2.89
193,1.01,Premium,G,SI1,62.3,60.0,4395,6.31,6.25,3.91
194,0.61,Ideal,I,VVS2,62.0,54.0,1867,5.51,5.47,3.4
195,0.28,Very Good,E,VVS2,61.0,57.0,707,4.22,4.25,2.58
196,1.21,Very Good,H,VS1,63.4,55.0,6973,6.76,6.81,4.3
197,0.4,Premium,F,VS2,61.6,58.0,842,4.75,4.8,2.94
198,1.19,Premium,I,VS2,61.7,57.0,5439,6.84,6.77,4.2
199,0.7,Ideal,D,VS2,61.0,57.0,2859,5.76,5.74,3.51
200,0.38,Ideal,J,VVS2,61.7,54.6,670,4.65,4.69,2.89
201,0.45,Premium,E,SI1,62.8,58.0,1091,4.88,4.84,3.05
202,0.96,Good,H,VS1,63.9,54.0,4456,6.27,6.22,3.99
203,0.31,Premium,D,SI1,61.2,60.0,571,4.35,4.41,2.68
204,0.29,Very Good,G,VS1,62.1,59.0,426,4.22,4.25,2.63
205,1.27,Premium,E,VS2,61.2,59.0,9086,7.02,6.97,4.28
206,0.42,Premium,E,SI1,62.3,58.0,992,4.81,4.76,2.98
207,1.01,Premium,E,VS2,58.0,61.0,7240,6.53,6.5,3.94
208,1.01,Ideal,H,SI2,61.1,56.0,4693,6.44,6.48,3.95
209,0.51,Very Good,E,SI2,61.6,57.0,1195,5.17,5.19,3.19
210,0.3,Ideal,F,VS2,60.5,58.0,573,4.3,4.36,2.62
211,0.31,Good,F,SI1,64.1,61.0,618,4.29,4.2,2.72
212,0.53,Ideal,F,VS2,61.6,56.0,2290,5.26,5.23,3.23
213,0.9,Very Good,F,SI1,62.0,59.0,3950,6.13,6.17,3.81
214,0.36,Premium,D,VS2,61.8,58.0,852,4.55,4.58,2.82
215,1.51,Premium,E,VS2,59.8,58.0,14482,7.55,7.52,4.47
216,2.53,Premium,J,SI2,62.6,57.0,16934,8.77,8.67,5.46
217,0.24,Very Good,F,VVS2,58.0,60.0,533,4.09,4.12,2.38
218,1.02,Very Good,H,VS2,62.4,57.0,5565,6.35,6.4,3.98
219,0.55,Premium,G,VS2,59.6,59.0,1556,5.36,5.32,3.18
220,0.7,Premium,I,SI2,62.4,58.0,1890,5.68,5.64,3.53
221,0.4,Ideal,G,IF,62.0,56.0,1229,4.73,4.76,2.94
222,0.41,Ideal,F,VS1,60.8,57.0,1007,4.77,4.8,2.91
223,1.11,Good,I,VVS2,60.1,64.0,5221,6.73,6.62,4.02
224,0.31,Very Good,E,VS2,61.7,58.0,680,4.31,4.34,2.67
225,0.33,Very Good,G,VS2,62.8,54.0,579,4.4,4.42,2.77
226,0.45,Very Good,D,VS2,62.9,58.4,1311,4.83,4.86,3.04
227,0.6,Ideal,F,VS1,61.9,55.0,2201,5.4,5.42,3.35
228,2.08,Premium,I,SI1,60.3,59.0,15065,8.26,8.22,4.97
229,0.6,Good,F,VS2,58.8,60.7,1940,5.52,5.55,3.25
230,0.7,Good,G,SI1,63.9,58.0,2218,5.57,5.51,3.54
231,0.71,Ideal,D,SI1,60.8,57.0,3502,5.75,5.78,3.5
232,0.97,Ideal,I,I1,61.6,53.0,2239,6.4,6.43,3.95
233,0.96,Premium,G,SI2,59.3,58.0,4204,6.49,6.43,3.83
234,0.38,Good,E,SI1,58.9,58.0,680,4.73,4.77,2.8
235,0.7,Very Good,F,SI2,61.2,57.0,2100,5.67,5.74,3.49
236,0.77,Very Good,F,VVS1,60.2,58.0,4399,5.93,5.97,3.58
237,1.51,Premium,I,SI1,61.7,60.0,9344,7.31,7.27,4.5
238,0.9,Premium,G,VS2,62.1,59.0,4252,6.15,6.09,3.8
239,0.4,Good,H,VS1,63.4,58.0,807,4.74,4.66,2.98
240,0.8,Very Good,I,VS2,62.0,54.2,2591,5.94,5.99,3.7
241,1.21,Premium,D,VVS1,60.1,59.0,17192,6.96,6.88,4.16
242,0.7,Ideal,E,SI1,62.4,55.0,2703,5.66,5.69,3.54
243,1.06,Ideal,F,SI1,61.9,57.0,5834,6.57,6.54,4.06
244,0.3,Ideal,F,VVS1,61.8,54.0,802,4.33,4.37,2.69
245,1.2,Premium,I,VS2,62.6,61.0,5645,6.76,6.68,4.21
246,1.05,Premium,H,SI2,61.7,59.0,3352,6.59,6.53,4.05
247,0.4,Premium,F,VVS1,61.1,59.0,1263,4.75,4.78,2.91
248,1.75,Very Good,G,VS1,59.6,60.0,17036,7.76,7.9,4.67
249,0.42,Ideal,G,VS1,61.2,54.0,921,4.82,4.86,2.96
250,0.3,Premium,E,VS2,62.0,59.0,658,4.27,4.31,2.66
251,0.71,Premium,E,SI2,62.2,57.0,2386,5.74,5.68,3.55
252,0.56,Premium,D,SI1,60.6,59.0,1814,5.36,5.34,3.24
253,0.7,Very Good,E,SI1,59.9,63.0,2777,5.76,5.7,3.43
254,0.94,Very Good,G,VVS1,63.3,57.0,6088,6.21,6.14,3.91
255,0.51,Ideal,E,SI1,62.4,55.0,1443,5.14,5.09,3.19
256,0.36,Ideal,D,SI1,62.7,57.0,663,4.54,4.59,2.86
257,0.38,Good,F,VS2,63.4,62.0,713,4.52,4.56,2.88
258,1.51,Very Good,E,SI2,63.3,58.0,7737,7.19,7.16,4.54
259,0.91,Good,G,VS1,63.6,60.0,4209,6.11,6.03,3.86
260,0.77,Ideal,I,SI1,61.8,55.0,2475,5.89,5.93,3.65
261,1.47,Fair,H,I1,66.7,59.0,4898,6.98,6.94,4.64
262,2.2,Very Good,H,SI2,63.3,57.0,11088,8.28,8.17,5.21
263,0.72,Premium,D,SI1,63.0,57.0,2567,5.74,5.69,3.6
264,0.34,Ideal,E,VVS1,62.1,57.0,1014,4.46,4.5,2.78
265,0.42,Good,D,SI1,63.3,58.0,735,4.73,4.75,3.0
266,0.71,Very Good,E,SI2,63.1,56.0,2368,5.67,5.71,3.58
267,1.2,Ideal,H,SI2,62.7,55.0,5578,6.74,6.69,4.21
268,1.02,Premium,J,SI2,61.4,60.0,3455,6.5,6.44,3.97
269,1.42,Ideal,H,SI1,62.0,56.0,8529,7.17,7.22,4.46
270,0.32,Ideal,D,VS2,62.6,55.0,758,4.37,4.39,2.74
271,1.26,Very Good,F,VS1,62.5,58.0,10284,6.83,6.94,4.3
272,0.31,Ideal,J,VVS1,62.4,54.0,461,4.32,4.35,2.7
273,0.4,Very Good,E,SI1,62.0,55.0,737,4.68,4.74,2.92
274,0.34,Ideal,E,VS2,62.4,54.0,956,4.49,4.48,2.8
275,1.06,Ideal,D,VVS2,61.1,56.0,11209,6.58,6.59,4.02
276,0.41,Ideal,H,SI1,61.7,56.0,1056,4.76,4.8,2.95
277,0.73,Ideal,G,VS1,61.2,56.0,3589,5.82,5.85,3.57
278,1.09,Ideal,I,VS1,61.4,56.0,6225,6.61,6.66,4.07
279,0.41,Ideal,E,VVS2,60.9,56.0,1187,4.75,4.81,2.91
280,1.0,Premium,J,VS2,62.0,62.0,3685,6.42,6.35,3.96
281,1.01,Ideal,I,SI1,60.0,60.0,4872,6.53,6.57,3.93
282,0.5,Premium,E,VS2,60.3,58.0,1920,5.15,5.13,3.1
283,0.33,Premium,G,VVS1,62.1,58.0,868,4.4,4.43,2.74
284,0.4,Good,G,VVS1,59.1,61.0,1013,4.86,4.88,2.88
285,0.63,Premium,H,VS1,62.9,60.0,1921,5.45,5.33,3.39
286,0.31,Premium,F,VS2,61.3,59.0,802,4.34,4.31,2.65
287,0.7,Ideal,I,VS1,62.1,57.0,2398,5.69,5.71,3.54
288,0.7,Ideal,I,SI1,61.9,58.0,2054,5.67,5.7,3.52
289,2.16,Good,I,VS2,63.6,56.0,14266,8.18,8.12,5.18
290,1.03,Premium,D,SI2,61.8,60.0,4560,6.45,6.42,3.98
291,0.3,Ideal,F,VVS1,62.0,54.2,854,4.31,4.33,2.68
292,0.4,Fair,G,VS2,64.6,55.0,722,4.62,4.64,2.99
293,0.7,Very Good,G,VS1,63.2,56.0,2535,5.61,5.56,3.53
294,1.16,Premium,D,I1,61.8,59.0,3644,6.74,6.78,4.18
295,0.83,Ideal,F,VS1,61.2,54.0,4617,6.07,6.11,3.73
296,1.01,Fair,D,SI1,66.2,56.0,5122,6.05,6.1,4.02
297,0.34,Ideal,E,VS1,61.8,56.0,805,4.47,4.51,2.78
298,1.04,Premium,F,VS1,59.4,60.0,7632,6.58,6.56,3.9
299,0.31,Ideal,G,VS1,61.9,56.0,542,4.34,4.38,2.7
300,1.23,Ideal,H,VS1,60.6,57.0,7803,6.94,6.98,4.22
301,0.42,Premium,G,VS2,59.5,59.0,847,4.83,4.89,2.89
302,0.52,Ideal,F,VS1,61.2,57.0,1872,5.2,5.16,3.17
303,0.57,Ideal,E,VS1,61.6,56.9,2030,5.29,5.36,3.28
304,0.32,Premium,E,IF,61.6,58.0,1095,4.38,4.39,2.7
305,1.01,Premium,E,VS1,62.0,59.0,7821,6.38,6.42,3.97
306,1.04,Premium,I,I1,61.6,61.0,2870,6.47,6.45,3.98
307,0.51,Very Good,E,SI2,58.3,61.9,1180,5.19,5.2,3.04
308,1.0,Premium,H,SI2,58.6,59.0,4088,6.57,6.5,3.83
309,0.35,Very Good,G,VVS1,59.3,61.0,921,4.58,4.62,2.73
310,0.35,Premium,I,VS1,60.7,62.0,709,4.59,4.53,2.77
311,0.4,Very Good,E,VS2,63.0,59.0,693,4.66,4.68,2.94
312,1.0,Ideal,E,VS2,61.9,56.0,6048,6.45,6.4,3.98
313,0.44,Ideal,E,VS1,61.5,56.0,1155,4.92,4.9,3.02
314,1.21,Ideal,I,SI1,62.4,55.0,5124,6.78,6.81,4.24
315,1.04,Ideal,J,SI1,62.0,53.0,4469,6.51,6.55,4.05
316,0.92,Premium,F,SI2,61.8,58.0,3854,6.19,6.23,3.84
317,0.32,Ideal,D,VVS1,61.0,57.0,1064,4.45,4.43,2.71
318,1.19,Ideal,H,VVS2,61.6,56.0,7651,6.78,6.86,4.2
319,0.46,Ideal,E,SI2,61.3,56.0,1116,5.02,4.96,3.06
320,0.58,Premium,E,SI1,60.7,61.0,1641,5.47,5.27,3.28
321,1.52,Very Good,D,SI2,60.6,62.0,9389,7.37,7.42,4.48
322,1.73,Premium,H,SI1,62.4,58.0,11969,7.61,7.64,4.76
323,0.71,Ideal,E,VS2,62.2,57.0,3073,5.69,5.73,3.55
324,0.35,Ideal,D,VS2,61.8,55.0,829,4.53,4.56,2.81
325,0.43,Ideal,G,VS2,62.4,56.0,1093,4.87,4.84,3.02
326,1.03,Ideal,H,SI1,62.4,56.0,4800,6.45,6.5,4.04
327,1.32,Ideal,I,SI1,61.7,56.0,5544,7.11,7.05,4.37
328,1.02,Premium,G,SI1,63.0,55.0,4718,6.45,6.4,4.05
329,0.4,Very Good,E,SI1,62.8,59.0,707,4.67,4.7,2.94
330,0.71,Good,H,SI1,63.4,54.0,2056,5.6,5.67,3.57
331,1.18,Ideal,F,VVS1,61.5,55.6,13257,6.79,6.83,4.19
332,1.66,Ideal,J,SI2,60.8,57.0,6377,7.68,7.65,4.66
333,1.15,Premium,I,VS2,62.6,56.0,5120,6.74,6.67,4.2
334,0.58,Ideal,E,VS2,61.9,57.0,1884,5.33,5.37,3.31
335,0.93,Premium,F,SI1,62.5,58.0,4081,6.19,6.22,3.88
336,0.31,Ideal,I,SI1,61.4,56.0,430,4.35,4.38,2.68
337,0.32,Ideal,H,VVS2,61.9,55.0,645,4.37,4.39,2.71
338,0.41,Ideal,D,VS1,62.6,55.0,1019,4.75,4.77,2.98
339,1.19,Fair,H,I1,65.1,59.0,2892,6.62,6.55,4.29
340,0.4,Ideal,H,SI1,61.3,57.0,705,4.77,4.79,2.93
341,0.63,Premium,H,VVS1,61.3,61.0,2177,5.49,5.44,3.35
342,0.33,Ideal,I,SI1,63.0,57.0,557,4.39,4.37,2.76
343,0.3,Premium,G,VVS2,61.2,59.0,878,4.35,4.31,2.65
344,0.4,Very Good,G,VS1,63.4,56.0,1005,4.72,4.68,2.98
345,0.7,Very Good,G,VVS2,63.3,59.0,2905,5.59,5.62,3.55
346,1.05,Premium,G,VS1,61.6,58.0,7063,6.51,6.48,4.0
347,0.54,Very Good,E,SI2,60.7,56.5,1415,5.24,5.28,3.19
348,0.32,Very Good,J,SI1,61.6,58.0,374,4.36,4.4,2.7
349,0.7,Good,F,VS2,64.3,59.0,2373,5.6,5.56,3.59
350,0.39,Very Good,G,VS2,63.4,57.0,1009,4.67,4.63,2.95
351,0.43,Premium,E,VS1,62.3,58.0,1209,4.82,4.78,2.99
352,1.57,Premium,I,VS2,62.5,58.0,9847,7.5,7.42,4.66
353,0.91,Good,D,SI1,64.0,58.0,3796,6.06,6.09,3.89
